,c1_meta,c1_title,c1_imgurl,c2_meta,c2_title,c2_imgurl,c3_meta,c3_title,c3_imgurl
198,cleaning-household,Cleaning Household,,mops-brushes-scrubs,Mops Brushes Scrubs,,,,
199,beauty-hygiene,Beauty Hygiene,,health-medicine,Health Medicine,,cotton-ear-buds,Cotton Ear Buds,
200,fruits-vegetables,Fruits Vegetables,,fresh-fruits,Fresh Fruits,,banana-sapota-papaya,Banana Sapota Papaya,
201,gourmet-world-food,Gourmet World Food,,cereals-breakfast,Cereals Breakfast,,gourmet-flakes,Gourmet Flakes,
202,kitchen-garden-pets,Kitchen Garden Pets,,cookware-non-stick,Cookware Non Stick,,tawa-sauce-pan,Tawa Sauce Pan,
203,cleaning-household,Cleaning Household,,all-purpose-cleaners,All Purpose Cleaners,,,,
204,fruits-vegetables,Fruits Vegetables,,organic-fv,Organic Fv,,,,
205,bakery-cakes-dairy,Bakery Cakes Dairy,,cookies-rusk-khari,Cookies Rusk Khari,,premium-cookies,Premium Cookies,
206,cleaning-household,Cleaning Household,,party-festive-needs,Party Festive Needs,,decorations,Decorations,
207,bakery-cakes-dairy,Bakery Cakes Dairy,,dairy,Dairy,,curd,Curd,
208,fruits-vegetables,Fruits Vegetables,,fresh-fruits,Fresh Fruits,,,,
209,gourmet-world-food,Gourmet World Food,,oils-vinegar,Oils Vinegar,,regular-white-vinegar,Regular White Vinegar,
210,baby-care,Baby Care,,baby-toiletries,Baby Toiletries,,baby-oil-shampoo,Baby Oil Shampoo,
211,kitchen-garden-pets,Kitchen Garden Pets,,kitchen-accessories,Kitchen Accessories,,choppers-graters,Choppers Graters,
212,cleaning-household,Cleaning Household,,all-purpose-cleaners,All Purpose Cleaners,,floor-other-cleaners,Floor Other Cleaners,
213,foodgrains-oil-masala,Foodgrains Oil Masala,,atta-flours-sooji,Atta Flours Sooji,,rice-other-flours,Rice Other Flours,
214,snacks-branded-foods,Snacks Branded Foods,,spreads-sauces-ketchup,Spreads Sauces Ketchup,,chilli-soya-sauce,Chilli Soya Sauce,
215,eggs-meat-fish,Eggs Meat Fish,,sausages-bacon-salami,Sausages Bacon Salami,,,,
216,foodgrains-oil-masala,Foodgrains Oil Masala,,edible-oils-ghee,Edible Oils Ghee,,gingelly-oil,Gingelly Oil,
217,beauty-hygiene,Beauty Hygiene,,hair-care,Hair Care,,hair-treatment,Hair Treatment,
218,cleaning-household,Cleaning Household,,bins-bathroom-ware,Bins Bathroom Ware,,buckets-mugs,Buckets Mugs,
219,bakery-cakes-dairy,Bakery Cakes Dairy,,dairy,Dairy,,butter-margarine,Butter Margarine,
220,beverages,Beverages,,health-drink-supplement,Health Drink Supplement,,men-women,Men Women,
221,beverages,Beverages,,health-drink-supplement,Health Drink Supplement,,glucose-powder-tablets,Glucose Powder Tablets,
222,gourmet-world-food,Gourmet World Food,,chocolates-biscuits,Chocolates Biscuits,,luxury-chocolates-gifts,Luxury Chocolates Gifts,
223,fruits-vegetables,Fruits Vegetables,,cuts-sprouts,Cuts Sprouts,,cut-fruit-tender-coconut,Cut Fruit Tender Coconut,
224,gourmet-world-food,Gourmet World Food,,cooking-baking-needs,Cooking Baking Needs,,baking-cake-decorations,Baking Cake Decorations,
225,gourmet-world-food,Gourmet World Food,,sauces-spreads-dips,Sauces Spreads Dips,,jams-marmalade-spreads,Jams Marmalade Spreads,
226,gourmet-world-food,Gourmet World Food,,tinned-processed-food,Tinned Processed Food,,meats-sausages,Meats Sausages,
